File Name,Case ID,Sample ID,Sample Type
3301e3cd-1bad-4d45-ac6c-5f9f96b96926.FPKM.txt,TCGA-D3-A8GD,TCGA-D3-A8GD-06A,Metastatic
7ef16280-e921-4585-bca7-8429e6089a34.FPKM.txt,TCGA-DA-A1I7,TCGA-DA-A1I7-06A,Metastatic
05aa09ea-2d66-44a0-9039-3e2419d11ffe.FPKM.txt,TCGA-D3-A8GE,TCGA-D3-A8GE-06A,Metastatic
28aa9ed9-f094-4165-b61d-1a0936419d65.FPKM.txt,TCGA-Z2-A8RT,TCGA-Z2-A8RT-06A,Metastatic
76dd0bea-a924-4db0-be34-5cf7607ef1e5.FPKM.txt,TCGA-FR-A7U9,TCGA-FR-A7U9-06A,Metastatic
b0a44ece-6cfe-4d2e-8048-c899516b882e.FPKM.txt,TCGA-W3-AA1R,TCGA-W3-AA1R-06A,Metastatic
1cf4d5bc-a977-4057-b25d-f91384e3b409.FPKM.txt,TCGA-EB-A3XC,TCGA-EB-A3XC-01A,Primary Tumor
167043fc-bc6c-454f-ad5f-073cc12385e7.FPKM.txt,TCGA-D3-A1QA,TCGA-D3-A1QA-06A,Metastatic
91c13a13-2b7b-43b5-ba99-ef28e22b0c80.FPKM.txt,TCGA-BF-A5EQ,TCGA-BF-A5EQ-01A,Primary Tumor
4daeb7ad-987d-4759-9959-bf9d2410dff5.FPKM.txt,TCGA-Z2-AA3V,TCGA-Z2-AA3V-06A,Metastatic
81d5aaf1-ac19-4c1e-90b9-085a5ca83a1a.FPKM.txt,TCGA-EE-A2GU,TCGA-EE-A2GU-06A,Metastatic
5ada9151-0b86-471f-abe1-ead94f61ce05.FPKM.txt,TCGA-ER-A19S,TCGA-ER-A19S-06A,Metastatic
76bf832d-567d-4d00-a080-7b380be96a89.FPKM.txt,TCGA-GF-A6C8,TCGA-GF-A6C8-06A,Metastatic
c28bd27b-0878-446c-8b1e-3049a120b2c2.FPKM.txt,TCGA-GN-A26A,TCGA-GN-A26A-06A,Metastatic
0266d0b5-b87f-4356-93b8-c1e291292cc8.FPKM.txt,TCGA-GN-A267,TCGA-GN-A267-06A,Metastatic
e357daa4-9f0e-46b8-bc52-d3075ffbd577.FPKM.txt,TCGA-BF-A1Q0,TCGA-BF-A1Q0-01A,Primary Tumor
85df63ca-61a0-4562-9799-ec2868d89e1b.FPKM.txt,TCGA-EE-A2GL,TCGA-EE-A2GL-06A,Metastatic
7b98f1f0-ec44-4414-8e1c-0d29a386e45c.FPKM.txt,TCGA-GN-A4U8,TCGA-GN-A4U8-11A,Solid Tissue Normal
c1c89b58-fd23-44a3-9d87-2d2911c9c384.FPKM.txt,TCGA-D3-A2JF,TCGA-D3-A2JF-06A,Metastatic
26d07fc5-438a-4cec-90bb-23fe92ba9268.FPKM.txt,TCGA-D3-A3C1,TCGA-D3-A3C1-06A,Metastatic
793a4160-f480-4ca2-9afd-42ffec3dc717.FPKM.txt,TCGA-ER-A19H,TCGA-ER-A19H-06A,Metastatic
04cd454e-776c-44be-aa99-06bcc5e3a1e0.FPKM.txt,TCGA-ER-A2NG,TCGA-ER-A2NG-06A,Metastatic
87fb2f83-5e75-4891-ac3d-09fb20e32b09.FPKM.txt,TCGA-EB-A24C,TCGA-EB-A24C-01A,Primary Tumor
6defa4b8-a8ed-4895-a4f5-7b55b9f067b4.FPKM.txt,TCGA-EE-A20I,TCGA-EE-A20I-06A,Metastatic
5c32b901-baff-4c78-89ea-b1a7ba3e5625.FPKM.txt,TCGA-GF-A6C9,TCGA-GF-A6C9-06A,Metastatic
fff8635a-798d-400c-83a5-2dd6b6ba5dba.FPKM.txt,TCGA-ER-A19K,TCGA-ER-A19K-01A,Primary Tumor
5347b69e-eb89-4c1f-829f-3787b6d7db62.FPKM.txt,TCGA-DA-A3F8,TCGA-DA-A3F8-06A,Metastatic
129fdd71-a34b-4fd2-874d-53c107e2d79b.FPKM.txt,TCGA-EB-A44Q,TCGA-EB-A44Q-06A,Metastatic
a7ee7e2c-0788-4505-82d0-3db8bb56ea6b.FPKM.txt,TCGA-D3-A5GU,TCGA-D3-A5GU-06A,Metastatic
25ae7e1d-5f00-4eeb-a188-747743ab2e2c.FPKM.txt,TCGA-EB-A57M,TCGA-EB-A57M-01A,Primary Tumor
1c813362-798c-4749-b620-e7d6dbcd8892.FPKM.txt,TCGA-ER-A2NE,TCGA-ER-A2NE-06A,Metastatic
b6442fea-2df6-4238-b70a-7339a17335be.FPKM.txt,TCGA-EE-A29D,TCGA-EE-A29D-06A,Metastatic
74ed0124-f00a-4066-88f4-786196e32ed0.FPKM.txt,TCGA-D3-A3C3,TCGA-D3-A3C3-06A,Metastatic
551042d1-2551-46bb-a56c-3cc79ed09469.FPKM.txt,TCGA-EE-A2MR,TCGA-EE-A2MR-06A,Metastatic
13904932-2d47-410b-915e-5e132524d783.FPKM.txt,TCGA-ER-A19O,TCGA-ER-A19O-06A,Metastatic
ab97269c-71bf-4f73-b758-d89333899cff.FPKM.txt,TCGA-D3-A5GS,TCGA-D3-A5GS-06A,Metastatic
5931cfde-d4dd-4538-a543-ad99ea6fd85f.FPKM.txt,TCGA-GN-A268,TCGA-GN-A268-06A,Metastatic
50a14323-4601-413d-b65d-b462c8864845.FPKM.txt,TCGA-YG-AA3N,TCGA-YG-AA3N-01A,Primary Tumor
dbb00aca-d1bb-4c5b-96bb-ea8cf4d1470b.FPKM.txt,TCGA-BF-A3DN,TCGA-BF-A3DN-01A,Primary Tumor
c15643a8-ed70-40ff-8379-b58cea01ad49.FPKM.txt,TCGA-WE-AA9Y,TCGA-WE-AA9Y-06A,Metastatic
2f47d0df-ecc1-4263-9b09-b52903b90227.FPKM.txt,TCGA-GN-A8LN,TCGA-GN-A8LN-01A,Primary Tumor
2bf150c7-7539-4fc8-a8cb-7ba6083b37ff.FPKM.txt,TCGA-BF-A1PX,TCGA-BF-A1PX-01A,Primary Tumor
e6baf5f6-0753-4f10-ae2d-1ed2c8eaf133.FPKM.txt,TCGA-D3-A2JC,TCGA-D3-A2JC-06A,Metastatic
58449465-e5e0-4721-aa6f-6c9b4d861127.FPKM.txt,TCGA-FS-A1ZD,TCGA-FS-A1ZD-06A,Metastatic
62a61e24-1e1f-4af5-8f29-c0bee5158ae0.FPKM.txt,TCGA-EE-A2MH,TCGA-EE-A2MH-06A,Metastatic
597e0bf5-b228-432f-b469-9498bb812f98.FPKM.txt,TCGA-WE-A8ZM,TCGA-WE-A8ZM-06A,Metastatic
