Sample ID,Sample Type
TCGA-WE-A8ZY-06A,Metastatic
TCGA-ER-A42H-01A,Primary Tumor
TCGA-FR-A726-01A,Primary Tumor
TCGA-ER-A194-01A,Primary Tumor
TCGA-EB-A5UL-06A,Metastatic
TCGA-WE-A8K5-06A,Metastatic
TCGA-W3-A825-06A,Metastatic
TCGA-XV-AAZW-01A,Primary Tumor
TCGA-D3-A2J9-06A,Metastatic
TCGA-EE-A3JB-06A,Metastatic
TCGA-EB-A44N-01A,Primary Tumor
TCGA-EE-A29H-06A,Metastatic
TCGA-GN-A4U8-06A,Metastatic
TCGA-EB-A44P-01A,Primary Tumor
TCGA-W3-AA1O-06A,Metastatic
TCGA-EE-A2MC-06A,Metastatic
TCGA-FS-A1ZZ-06A,Metastatic
TCGA-EE-A2GE-06A,Metastatic
TCGA-GN-A4U3-06A,Metastatic
TCGA-ER-A19P-06A,Metastatic
TCGA-BF-AAOU-01A,Primary Tumor
TCGA-FR-A44A-06A,Metastatic
TCGA-BF-A5ER-01A,Primary Tumor
TCGA-OD-A75X-06A,Metastatic
TCGA-EB-A430-01A,Primary Tumor
TCGA-EE-A3AA-06A,Metastatic
TCGA-BF-A5EP-01A,Primary Tumor
TCGA-ER-A19T-06A,Metastatic
TCGA-ER-A3ES-06A,Metastatic
TCGA-ER-A2NB-01A,Primary Tumor
TCGA-ER-A19W-06A,Metastatic
TCGA-EE-A2GD-06A,Metastatic
TCGA-ER-A2NF-06A,Metastatic
TCGA-EB-A3XD-01A,Primary Tumor
TCGA-D3-A2JA-06A,Metastatic
TCGA-RP-A690-06A,Metastatic
TCGA-BF-AAP6-01A,Primary Tumor
TCGA-EB-A551-01A,Primary Tumor
TCGA-EB-A42Z-01A,Primary Tumor
TCGA-FR-A2OS-01A,Primary Tumor
TCGA-D3-A1QB-06A,Metastatic
TCGA-EE-A20F-06A,Metastatic
TCGA-EB-A3XF-01A,Primary Tumor
TCGA-XV-A9W5-01A,Primary Tumor
TCGA-ER-A2NC-06A,Metastatic
TCGA-D3-A5GO-06A,Metastatic
TCGA-EE-A2GT-06A,Metastatic
TCGA-EE-A3AG-06A,Metastatic
TCGA-EE-A180-06A,Metastatic
TCGA-EE-A2MG-06A,Metastatic
TCGA-EE-A29A-06A,Metastatic
TCGA-EB-A5VU-01A,Primary Tumor
TCGA-ER-A19A-06A,Metastatic
TCGA-DA-A1I2-06A,Metastatic
TCGA-EE-A3J4-06A,Metastatic
TCGA-EB-A85I-01A,Primary Tumor
